Image,Acc,Sen,Fm,Pre,MCC,Dice,Jac,Spe
21,0.961622621,0.826785812,0.705586943,0.615378376,0.694092564,0.705586943,0.545101843,0.969564227
22,0.951345618,0.887573964,0.662404845,0.528363917,0.663000603,0.662404845,0.495220727,0.954970133
23,0.958437386,0.695599082,0.67499289,0.655572435,0.653139967,0.67499289,0.509425863,0.97582451
24,0.941608074,0.927572833,0.681025777,0.538020874,0.680728302,0.681025777,0.516329861,0.942619222
25,0.944250818,0.901804093,0.618258036,0.470365342,0.628008244,0.618258036,0.447448259,0.946487707
26,0.952206328,0.817472699,0.65837702,0.551118848,0.647989988,0.65837702,0.49073177,0.960249991
27,0.955373379,0.854691981,0.7013124,0.59460668,0.691088141,0.7013124,0.540016244,0.961947994
28,0.946126803,0.851767111,0.663141937,0.542912995,0.654494956,0.663141937,0.496045134,0.952391264
29,0.954706631,0.848633344,0.675932953,0.561637418,0.668767423,0.675932953,0.510497527,0.960958812
30,0.957779731,0.806440035,0.69306189,0.60763406,0.678628988,0.69306189,0.530294346,0.967286935
31,0.967293005,0.783994511,0.699638185,0.631671525,0.687011245,0.699638185,0.538033475,0.976653882
32,0.95985574,0.868310992,0.70973397,0.600133412,0.702526895,0.70973397,0.550067935,0.965340015
33,0.957288762,0.798483053,0.705050125,0.631192386,0.687850084,0.705050125,0.544461325,0.968134946
34,0.926206207,0.701635846,0.531488715,0.427757302,0.511849564,0.531488715,0.36192348,0.940453016
35,0.955712814,0.844921894,0.701196197,0.599259052,0.689711169,0.701196197,0.53987846,0.962973129
36,0.939135047,0.821302208,0.667901377,0.562785643,0.649460493,0.667901377,0.501390337,0.94862315
37,0.954124742,0.827345691,0.695879292,0.600464616,0.681850104,0.695879292,0.53360037,0.962712117
38,0.953006425,0.79136529,0.694378745,0.618569372,0.675301569,0.694378745,0.531837807,0.964699497
39,0.953018548,0.775949476,0.699713312,0.637117257,0.678353638,0.699713312,0.538122337,0.966457331
40,0.96057704,0.767187987,0.72582413,0.688692452,0.705843749,0.72582413,0.56964203,0.97469083
AVG,0.952,0.820,0.678,0.583,0.666,0.678,0.515,0.961
STD,0.009,0.059,0.042,0.062,0.042,0.042,0.045,0.011
